# RPairs file created from KEGG LIGAND version 49.0 reaction file
# REACTION_ID	RPAIR_ID	LEFT_CPD_ID	RIGHT_CPD_ID	LINK_TYPE
R00308	RP04700	C00031	C00965	main
R00308	RP05679	C00001	C00031	leave
R00310	RP04707	C00032	C02191	main
R00311	RP00013	C00001	C00007	leave
R00311	RP10074	C00032	C14818	main
R00315	RP00003	C00002	C00008	main
R00315	RP00180	C00033	C00227	main
R00315	RP08560	C00002	C00227	trans
R00316	RP00009	C00002	C00013	leave
R00316	RP04833	C00033	C05993	main
R00316	RP08575	C00002	C05993	trans
R00317	RP00100	C00009	C00227	main
R00317	RP00180	C00033	C00227	main
R00317	RP05676	C00001	C00009	leave
R00317	RP05678	C00001	C00033	leave
R00318	RP04853	C00009	C05682	main
R00318	RP04854	C00033	C05682	main
R00318	RP05676	C00001	C00009	leave
R00319	RP00013	C00001	C00007	leave
R00319	RP04861	C00033	C00186	main
R00319	RP08577	C00007	C00033	leave
R00319	RP08578	C00011	C00186	leave
R00320	RP00180	C00033	C00227	main
R00320	RP00190	C00009	C00013	main
R00320	RP08582	C00013	C00227	trans
R00321	RP04862	C00033	C06244	main
R00321	RP05678	C00001	C00033	leave
R00321	RP08607	C00014	C06244	leave
R00322	RP05678	C00001	C00033	leave
R00322	RP05688	C00001	C00020	leave
R00324	RP04892	C00022	C02132	main
R00324	RP04893	C00033	C02132	main
R00324	RP05678	C00001	C00033	leave
R00325	RP04896	C00022	C02614	main
R00325	RP04947	C00033	C02614	main
R00326	RP00128	C00033	C00084	main
R00326	RP05678	C00001	C00033	leave
R00327	RP05031	C00031	C02655	main
R00327	RP05035	C00033	C02655	main
R00327	RP05678	C00001	C00033	leave
R00327	RP05679	C00001	C00031	leave
R00328	RP00342	C00035	C00144	main
R00328	RP05676	C00001	C00009	leave
R00328	RP05826	C00009	C00035	leave
R00329	RP05676	C00001	C00009	leave
R00330	RP00003	C00002	C00008	main
R00330	RP00055	C00035	C00044	main
R00330	RP08640	C00002	C00044	trans
R00331	RP00003	C00002	C00008	main
R00332	RP00003	C00002	C00008	main
R00332	RP00342	C00035	C00144	main
R00332	RP05874	C00002	C00035	trans
R00333	RP00056	C00008	C00020	main
R00333	RP08670	C00008	C00201	trans
R00334	RP00003	C00002	C00008	main
R00335	RP00055	C00035	C00044	main
R00335	RP00227	C00009	C00044	leave
R00335	RP05676	C00001	C00009	leave
R00336	RP05042	C00013	C01228	main
R00336	RP05043	C00035	C01228	main
R00336	RP10332	C00001	C00035	leave
R00337	RP00241	C00035	C00394	main
R00337	RP05045	C00031	C00394	main
R00337	RP05679	C00001	C00031	leave
R00338	RP05046	C00033	C00036	main
R00338	RP05050	C00036	C00209	main
R00338	RP05877	C00001	C00209	leave
R00339	RP05051	C00036	C00898	main
R00340	RP05056	C00036	C02107	main
R00341	RP00003	C00002	C00008	ligase
R00341	RP00078	C00036	C00074	main
R00341	RP05729	C00011	C00036	leave
R00341	RP05785	C00002	C00074	trans
R00342	RP00002	C00003	C00004	cofac
R00342	RP00079	C00036	C00149	main
R00343	RP00001	C00005	C00006	cofac
R00343	RP00079	C00036	C00149	main
R00344	RP00003	C00002	C00008	ligase
R00344	RP00010	C00002	C00009	ligase
